itemnumber,checkouts,biblionumber,itemcallnumber,author,title
265239,1,179463,PZ8.3.C88647 Iae 2004,"Crystal, Billy",I already know I love you /
265240,1,179464,PZ7.P75186 Au 1996,"Polacco, Patricia",Aunt Chip and the great Triple Creek dam affair /
265250,1,179474,PZ73.D47 A34 2002,"De Paola, Tomie",Adelita :
265253,1,179477,PZ7.M927 An 1998,"Munsch, Robert N.,",Andrew's loose tooth /
265260,1,179483,PZ7.S8177 Do 1990,"Steig, William,",Doctor De Soto /
265278,1,179496,PZ7.P73 Seb 2005,"Prats, Joan de Déu",Sebastian's roller skates /
265280,1,179498,PZ7.J3643 Los 2006,"Jeffers, Oliver",Lost and found /
265292,1,179510,PZ7.Z452 El 2005,"Zevin, Gabrielle",Elsewhere /
265302,1,179520,PZ7.M655 Be 2004,"Minne, Brigitte",The best bottom /
265307,1,179525,TP983 .A429 2005,,Perspectives in flavor and fragrance research /
265311,1,179529,PS3561.O6 W65 2000,"Kooser, Ted.",Winter morning walks :
265325,1,179539,HD6231 .S76 2003,,Stolen childhoods
265331,1,179545,HD6054.4.U6 S65 2005,"Smith, Cheryl A.,",Market women :
265337,1,179551,PS1018 .A53 2005,,Alcott in her own time :
265357,1,179571,BV4527 .W36 2005,"Warren, Nancy Bradley",Women of God and arms :
265364,1,179574,PS3552.O932 R63 1994,"Boyle, T. Coraghessan",The road to Wellville /
265398,1,179606,R726.8 .E84 2005,,Ethical dilemmas at the end of life /
265413,1,179620,PR6073.H68 H68 1997,"Whyte, David,",The house of belonging :
265447,1,179653,NA965 .H46 2005,"Henderson, Paula",The Tudor house and garden :
265448,1,179654,NA7448 .H68 2005,,"House, home, family :"
265460,1,179666,N6608.B276 A4 2005,"Basquiat, Jean-Michel,",Jean-Michel Basquiat /
